,产品标题,一级类目,二级类目,三级类目,三级分词,二级分词,二级品类结果
4234,爆款小白鞋女鞋子2019春季新款韩版百搭时尚平底学生单鞋休闲运动板鞋,女装,鞋,单鞋,"{'v': ['爆款', '搭', '休闲'], 'n': ['小白鞋', '女', '鞋子', '新款', '版', '时尚', '学生', '单鞋', '板鞋'], 'm': ['2019', '百'], 't': ['春季', '平底'], 'j': ['韩'], 'vn': ['运动']}","['鞋', '鞋', '鞋']",鞋
4235,牛仔半身裙女2019新款中长款宽松文艺大摆半身裙显瘦时尚长裙,女装,裙子,半身裙,"{'nr': ['牛仔'], 'n': ['半身裙', '女', '新款', '文艺', '半身裙', '时尚', '长裙'], 'm': ['2019'], 'j': ['中长款'], 'a': ['宽松', '大', '显瘦'], 'v': ['摆']}","['裙子', '裙子']",裙子
4236,牛仔外套女2019春秋季短款宽松显瘦韩版时尚修身夹克连帽小外套,女装,外套,外套,"{'nr': ['牛仔'], 'n': ['外套', '女', '版', '时尚', '修身', '夹克', '连帽', '小', '外套'], 'm': ['2019'], 't': ['春秋季'], 'b': ['短款'], 'a': ['宽松', '显瘦'], 'j': ['韩']}","['外套', '外套', '外套']",外套
4237,牛仔外套女短款2019春季新款韩版修身上衣BF原宿牛仔衣夹克小清新,女装,外套,外套,"{'nr': ['牛仔', '牛仔衣'], 'n': ['外套', '新款', '修身', '上衣', '原宿', '夹克'], 'b': ['女', '短款'], 'm': ['2019'], 't': ['春季'], 'nt': ['韩版'], 'eng': ['BF'], 'a': ['小', '清新']}","['外套', '上衣', '外套']",外套
4238,牛仔套装女2019春装新款韩版马甲三件套显瘦时尚气质牛仔铅笔裤,女装,裤子,铅笔裤,"{'nr': ['牛仔', '牛仔'], 'n': ['套装', '女', '春装', '新款', '马甲', '时尚', '气质', '铅笔裤'], 'm': ['2019'], 'nt': ['韩版'], 'nz': ['三件套'], 'a': ['显瘦']}","['套装', '外套', '裤子']",裤子
4239,牛仔套裙2019春秋修身外套女短裙两件套韩版刺绣时尚套装裙【配腰带】,女装,外套,外套,"{'nr': ['牛仔'], 'n': ['套裙', '修身', '外套', '短裙', '两件套', '刺绣', '时尚', '套装', '腰带'], 'm': ['2019'], 't': ['春秋'], 'b': ['女'], 'nt': ['韩版'], 'ng': ['裙'], 'v': ['配']}","['外套', '裙子', '套装', '套装', '裙子', '日用']",套装
4240,牛仔女新款韩版中长款翻领修身长袖港味显瘦,女装,其它,修身,"{'nr': ['牛仔'], 'b': ['女'], 'n': ['新款', '版', '长款', '修身', '长袖', '港味'], 'j': ['韩'], 'f': ['中'], 'v': ['翻领'], 'a': ['显瘦']}",['其它'],其它
4241,牛仔新款抓毛紧身破洞高腰高弹牛仔裤冬,女装,裤子,牛仔裤,"{'nr': ['牛仔', '毛'], 'n': ['新款', '破洞', '腰', '高弹', '牛仔裤'], 'v': ['抓', '紧身'], 'a': ['高'], 't': ['冬']}",['裤子'],裤子
4242,牛仔棉服女短款2018新款秋冬加厚冬季外套仿羊羔毛小棉袄A136,女装,外套,棉服,"{'nr': ['牛仔', '加厚', '毛小'], 'n': ['棉服', '新款', '外套', '羊羔', '棉袄'], 'b': ['女', '短款'], 'm': ['2018'], 't': ['秋冬', '冬季'], 'd': ['仿'], 'eng': ['A136']}","['外套', '外套', '外套']",外套
4243,牛仔短裤女2018夏季新款韩版百搭高腰显瘦宽松阔腿裤大码a字裤,女装,裤子,阔腿裤,"{'nr': ['牛仔'], 'n': ['短裤', '女', '新款', '版', '腰', '阔腿裤', '大码', '字裤'], 'm': ['2018', '百'], 't': ['夏季'], 'j': ['韩'], 'v': ['搭'], 'a': ['高', '显瘦', '宽松'], 'eng': ['a']}","['裤子', '裤子']",裤子
4244,牛仔裙两件套2018新款韩版时尚修身早秋长袖牛仔套装连衣裙,女装,连衣裙,连衣裙,"{'nr': ['牛仔裙', '牛仔'], 'n': ['两件套', '新款', '时尚', '修身', '长袖', '套装', '连衣裙'], 'm': ['2018'], 'nt': ['韩版'], 't': ['早秋']}","['套装', '其它', '套装', '连衣裙']",套装
4245,牛仔裤2019春装新款时尚气质韩版显瘦高腰外穿九分格布边牛仔裤,女装,裤子,牛仔裤,"{'n': ['牛仔裤', '春装', '新款', '时尚', '气质', '版', '腰', '牛仔裤'], 'm': ['2019', '九分'], 'j': ['韩'], 'v': ['显', '穿'], 'a': ['瘦高'], 'f': ['外'], 'nr': ['格布边']}","['裤子', '裤子']",裤子
4246,牛仔裤女2019春季新款显瘦紧身高腰烟灰色外穿黑色小脚长裤子【DB】h831,女装,裤子,牛仔裤,"{'n': ['牛仔裤', '女', '新款', '腰', '烟灰色', '黑色', '小脚', '裤子'], 'm': ['2019'], 't': ['春季'], 'a': ['显瘦', '高', '长', 'DB'], 'v': ['紧身', '穿'], 'f': ['外'], 'eng': ['h831']}","['裤子', '裤子', '裤子']",裤子
4247,牛仔裤女加绒加厚2019新款韩版显瘦萝卜裤宽松哈伦老爹裤,女装,裤子,牛仔裤,"{'n': ['牛仔裤', '女加绒', '新款', '版', '萝卜', '裤', '裤'], 'nr': ['加厚', '老爹'], 'm': ['2019'], 'j': ['韩'], 'a': ['显瘦', '宽松'], 'nrt': ['哈伦']}","['裤子', '裤子', '裤子']",裤子
4248,牛仔裤女装高腰2018春秋季新款紧身显瘦小脚裤修身铅笔长裤子百搭,女装,裤子,小脚裤,"{'n': ['牛仔裤', '女装', '腰', '新款', '小脚裤', '修身', '铅笔', '裤子'], 'a': ['高', '显瘦', '长'], 'm': ['2018', '百'], 't': ['春秋季'], 'v': ['紧身', '搭']}","['裤子', '裤子', '裤子']",裤子
4249,牛仔连衣裙女2018秋季新款中长款a字裙春季韩版收腰裙子,女装,连衣裙,连衣裙,"{'nr': ['牛仔'], 'n': ['连衣裙', '女', '新款', '字', '版', '裙子'], 'm': ['2018'], 't': ['秋季', '春季'], 'j': ['中长款', '韩'], 'eng': ['a'], 'ng': ['裙'], 'v': ['收腰']}","['连衣裙', '裙子', '裙子']",裙子
4250,特厚加绒光泽裤外穿女胖mm大码冬季加厚高腰踩脚一体打底裤A104,女装,裤子,打底裤,"{'a': ['特厚', '高'], 'n': ['加绒', '光泽裤', '胖', '大码', '腰', '脚', '一体', '打底裤'], 'f': ['外'], 'v': ['穿', '踩'], 'b': ['女'], 'eng': ['mm', 'A104'], 't': ['冬季'], 'nr': ['加厚']}","['裤子', '裤子']",裤子
4251,珊瑚绒加厚保暖女士圆领桃心印花舒适家居服,女装,日用,家居服,"{'n': ['珊瑚', '绒', '女士', '圆领', '桃心', '印花', '家居服'], 'nr': ['加厚'], 'v': ['保暖'], 'a': ['舒适']}",['日用'],日用
4252,珊瑚绒干发帽 超强吸水干发帽擦头发速干巾 包边珊瑚绒干发帽,女装,日用,干发帽,"{'n': ['珊瑚', '绒', '干发帽', '干发帽', '头发', '速干巾', '珊瑚', '绒', '干发帽'], 'v': ['超强', '吸水', '擦', '包边']}","['日用', '日用', '日用']",日用
4253,珊瑚绒睡衣女冬季加厚韩版甜美可爱饼干熊法兰绒套装家居服女,女装,日用,睡衣,"{'n': ['珊瑚', '绒', '睡衣', '饼干', '套装', '家居服'], 'b': ['女', '女'], 't': ['冬季'], 'nr': ['加厚', '熊'], 'nt': ['韩版'], 'a': ['甜美'], 'v': ['可爱'], 'nz': ['法兰绒']}","['日用', '套装', '日用']",日用
4254,珊瑚绒睡衣女士秋冬季甜美长袖韩版冬天法兰绒加厚舒适柔软套装家居服PNDF-4,女装,日用,睡衣,"{'n': ['珊瑚', '绒', '睡衣', '女士', '长袖', '套装', '家居服'], 't': ['秋冬季', '冬天'], 'a': ['甜美', '舒适', '柔软'], 'nt': ['韩版'], 'nz': ['法兰绒'], 'nr': ['加厚'], 'eng': ['PNDF4']}","['日用', '其它', '套装', '日用']",日用
4255,珊瑚绒睡衣女秋冬季韩版清新甜美嘴唇绒法兰绒家居服PNDF-4,女装,日用,睡衣,"{'n': ['珊瑚', '绒', '睡衣', '嘴唇', '绒', '家居服'], 'b': ['女'], 't': ['秋冬季'], 'nt': ['韩版'], 'a': ['清新', '甜美'], 'nz': ['法兰绒'], 'eng': ['PNDF4']}","['日用', '日用']",日用
4256,珊瑚绒睡衣女秋冬季韩版清新甜美粉豹绒法兰绒家居服PNDF-4,女装,日用,睡衣,"{'n': ['珊瑚', '绒', '睡衣', '粉豹', '绒', '家居服'], 'b': ['女'], 't': ['秋冬季'], 'nt': ['韩版'], 'a': ['清新', '甜美'], 'nz': ['法兰绒'], 'eng': ['PNDF4']}","['日用', '日用']",日用
4257,男女士冬季雷锋帽户外骑车防风防寒东北护耳帽新爆款护脖围脖帽子,女装,日用,帽子,"{'n': ['男', '女士', '帽', '骑车', '防风', '护耳', '帽', '脖', '围脖', '帽子'], 't': ['冬季'], 'nr': ['雷锋'], 's': ['户外'], 'v': ['防寒', '爆款', '护'], 'ns': ['东北'], 'a': ['新']}","['日用', '日用', '配饰', '日用']",日用
4258,男女情侣款保暖冲锋衣变态厚加绒加厚棉衣外套f614,女装,外套,棉衣,"{'n': ['男女', '情侣', '冲锋衣', '变态', '棉衣', '外套'], 'm': ['款'], 'v': ['保暖'], 'nz': ['厚加绒'], 'nr': ['加厚'], 'eng': ['f614']}","['外套', '外套']",外套
4259,白色两翻高领毛衣女秋冬加厚韩版绣花套头针织衫宽松百搭款打底衫,女装,上衣,打底衫,"{'n': ['白色', '高领', '毛衣', '绣花', '套头', '针织衫', '打底衫'], 'm': ['两', '百'], 'v': ['翻', '搭款'], 'b': ['女'], 't': ['秋冬'], 'nr': ['加厚'], 'nt': ['韩版'], 'a': ['宽松']}","['上衣', '上衣', '上衣']",上衣
4260,白色中长款仿水貂绒毛衣裙女2018秋冬新款宽松加厚针织打底衫z274,女装,上衣,打底衫,"{'n': ['白色', '水貂绒', '衣裙', '女', '新款', '针织', '打底衫'], 'j': ['中长款'], 'd': ['仿'], 'nr': ['毛', '加厚'], 'm': ['2018'], 't': ['秋冬'], 'a': ['宽松'], 'eng': ['z274']}",['上衣'],上衣
4261,白色衬衫女2019新款春夏装长袖衬衣优雅荷叶边上衣,女装,上衣,衬衫,"{'n': ['白色', '衬衫', '女', '新款', '夏装', '长袖', '衬衣', '荷叶', '上衣'], 'm': ['2019'], 'tg': ['春'], 'a': ['优雅'], 'd': ['边']}","['上衣', '其它', '上衣', '上衣']",上衣
4262,百搭内增高袜子鞋版2018秋季新款韩版弹力靴高帮嘻哈潮靴WLDF-4,女装,日用,袜子,"{'m': ['百', '2018'], 'v': ['搭', '增高', '帮'], 'f': ['内'], 'n': ['袜子', '鞋', '版', '新款', '弹力', '潮'], 't': ['秋季'], 'nt': ['韩版'], 'ng': ['靴', '靴'], 'a': ['高'], 'o': ['嘻'], 'j': ['哈'], 'eng': ['WLDF4']}","['日用', '鞋', '鞋', '鞋']",鞋
4263,百搭单鞋软皮软底单鞋2019春季女鞋平底防滑皮鞋女,女装,鞋,单鞋,"{'m': ['百', '2019'], 'v': ['搭', '防滑'], 'n': ['单鞋', '软皮', '软底', '单鞋', '女鞋', '皮鞋'], 't': ['春季', '平底'], 'b': ['女']}","['鞋', '鞋', '鞋', '鞋']",鞋
4264,百搭基础小白鞋女新款韩版女鞋冬季加绒鞋子皮面平底白鞋hh,女装,鞋,鞋,"{'m': ['百'], 'v': ['搭'], 'n': ['基础', '白鞋', '女', '新款', '女鞋', '鞋子', '皮面', '白鞋'], 'a': ['小'], 'nt': ['韩版'], 't': ['冬季', '平底'], 'nr': ['加绒'], 'eng': ['hh']}","['鞋', '鞋']",鞋
4265,百搭性感不扎人半高领2019新款睫毛蕾丝网纱衣,女装,其它,网纱衣,"{'m': ['百', '半', '2019'], 'v': ['搭', '扎'], 'n': ['性感', '人', '高领', '新款', '睫毛', '蕾丝', '网纱衣'], 'd': ['不']}",['其它'],其它
4266,百搭软妹板鞋港味复古小白鞋2019新款韩版港风帆布鞋女,女装,鞋,鞋,"{'m': ['百', '2019'], 'v': ['搭'], 'n': ['软妹', '板鞋', '港味', '白鞋', '新款', '风', '帆布鞋'], 'vn': ['复古'], 'a': ['小'], 'ns': ['韩版港'], 'b': ['女']}","['鞋', '鞋']",鞋
4267,百搭防走光毛呢半身裙女格子短裙秋冬2018高腰外穿a字百褶裙子【配腰带】,女装,裙子,半身裙,"{'m': ['百', '2018'], 'v': ['搭', '穿', '配'], 'n': ['防走光', '毛呢', '半身裙', '格子', '短裙', '腰', '字', '百褶裙', '腰带'], 'b': ['女'], 't': ['秋冬'], 'a': ['高'], 'f': ['外'], 'eng': ['a'], 'ng': ['子']}","['裙子', '裙子', '裙子', '日用']",裙子
4268,皮夹克2018秋季新款pu机车皮衣女士短款韩版修身大码短外套,女装,外套,外套,"{'n': ['皮夹克', '新款', '机车', '皮衣', '女士', '修身', '大码', '短外套'], 'm': ['2018'], 't': ['秋季'], 'eng': ['pu'], 'b': ['短款'], 'nt': ['韩版']}","['外套', '外套']",外套
4269,皮手套女士獭兔毛口保暖冬季触屏手套时尚PU皮手套骑手专用,女装,日用,手套,"{'n': ['皮手套', '女士', '獭兔', '毛口', '触屏', '手套', '时尚', '皮手套', '骑手', '专用'], 'v': ['保暖'], 't': ['冬季'], 'eng': ['PU']}",['日用'],日用
4270,皮毛一体皮衣纯色连帽双排扣2018年冬季长袖中长款,女装,外套,皮衣,"{'n': ['皮毛', '一体', '皮衣', '纯色', '连帽', '长袖'], 'm': ['双排', '2018', '年'], 'v': ['扣'], 't': ['冬季'], 'j': ['中长款']}","['外套', '其它']",其它
4271,皮毛一体翻领绒加厚夹克2018秋冬羊羔毛机车服PU皮衣女学生短外套,女装,外套,外套,"{'n': ['皮毛', '一体', '绒', '夹克', '羊羔', '机车', '皮衣', '学生', '短外套'], 'v': ['翻领'], 'nr': ['加厚', '毛'], 'm': ['2018'], 't': ['秋冬'], 'vn': ['服'], 'eng': ['PU'], 'b': ['女']}","['外套', '外套', '外套']",外套
4272,皮毛一体鹿皮绒外套女中长款2018冬季韩版气质保暖立领羊羔毛加厚大衣BMDF-4,女装,外套,大衣,"{'n': ['皮毛', '一体', '绒', '外套', '中长款', '气质', '羊羔', '大衣'], 'nr': ['鹿皮', '毛', '加厚'], 'b': ['女'], 'm': ['2018'], 't': ['冬季'], 'nt': ['韩版'], 'v': ['保暖', '立领'], 'eng': ['BMDF4']}","['外套', '外套']",外套
4273,皮短裤女秋新款2018韩版PU皮裤高腰修身宽松显瘦大码外穿靴裤子,女装,裤子,短裤,"{'n': ['皮', '短裤', '女秋', '新款', '皮裤', '腰', '修身', '大码', '穿靴', '裤子'], 'm': ['2018'], 'nt': ['韩版'], 'eng': ['PU'], 'a': ['高', '宽松', '显瘦'], 'f': ['外']}","['裤子', '裤子']",裤子
4274,皮短裤女秋新款2018韩版PU皮裤高腰修身宽松显瘦大码外穿靴裤子g692,女装,裤子,短裤,"{'n': ['皮', '短裤', '女秋', '新款', '皮裤', '腰', '修身', '大码', '穿靴', '裤子'], 'm': ['2018'], 'nt': ['韩版'], 'eng': ['PU', 'g692'], 'a': ['高', '宽松', '显瘦'], 'f': ['外']}","['裤子', '裤子']",裤子
4275,皮草外套仿水貂气质休闲大气外套大衣f539,女装,外套,大衣,"{'n': ['皮草', '外套', '水貂', '气质', '大气', '外套', '大衣'], 'd': ['仿'], 'v': ['休闲'], 'eng': ['f539']}","['外套', '外套', '外套']",外套
4276,皮衣外套女2018秋冬新款韩版大码中长款时尚百搭显瘦pu皮外套女士风衣,女装,外套,风衣,"{'n': ['皮衣', '外套', '女', '新款', '版', '大码', '长款', '时尚', '皮', '外套', '女士', '风衣'], 'm': ['2018', '百'], 't': ['秋冬'], 'j': ['韩'], 'f': ['中'], 'v': ['搭'], 'a': ['显瘦'], 'eng': ['pu']}","['外套', '外套', '外套', '外套']",外套
4277,皮衣女中长款2018春秋新款韩版大码PU皮风衣皮夹克修身显瘦皮外套潮pu大衣,女装,外套,风衣,"{'n': ['皮衣', '中长款', '新款', '版', '大码', '皮', '风衣', '皮夹克', '修身', '皮', '外套', '潮', '大衣'], 'b': ['女'], 'm': ['2018'], 't': ['春秋'], 'j': ['韩'], 'eng': ['PU', 'pu'], 'a': ['显瘦']}","['外套', '外套', '外套', '外套']",外套
4278,皮衣女中长款2018春秋新款韩版大码PU皮风衣皮夹克修身显瘦皮外套潮pu大衣h275,女装,外套,风衣,"{'n': ['皮衣', '中长款', '新款', '版', '大码', '皮', '风衣', '皮夹克', '修身', '皮', '外套', '潮', '大衣'], 'b': ['女'], 'm': ['2018'], 't': ['春秋'], 'j': ['韩'], 'eng': ['PU', 'pu', 'h275'], 'a': ['显瘦']}","['外套', '外套', '外套', '外套']",外套
4279,皮衣女外套加棉加厚短款2018冬装新款西装领韩版修身显瘦大码水洗PU皮夹克,女装,外套,外套,"{'n': ['皮衣', '外套', '冬装', '新款', '西装', '版', '修身', '大码', '皮夹克'], 'b': ['女', '短款', '水洗'], 'ns': ['加棉'], 'nr': ['加厚'], 'm': ['2018'], 'v': ['领'], 'j': ['韩'], 'a': ['显瘦'], 'eng': ['PU']}","['外套', '外套', '外套']",外套
4280,皮衣女外套加棉加厚短款2018冬装新款西装领韩版修身显瘦大码水洗PU皮夹克f832,女装,外套,外套,"{'n': ['皮衣', '外套', '冬装', '新款', '西装', '版', '修身', '大码', '皮夹克'], 'b': ['女', '短款', '水洗'], 'ns': ['加棉'], 'nr': ['加厚'], 'm': ['2018'], 'v': ['领'], 'j': ['韩'], 'a': ['显瘦'], 'eng': ['PU', 'f832']}","['外套', '外套', '外套']",外套
4281,皮衣女短款春秋装2018韩版宽松大码PU皮短外套气质休闲皮夹克女潮h254,女装,外套,外套,"{'n': ['皮衣', '大码', '皮', '短外套', '气质', '皮夹克', '女潮'], 'b': ['女', '短款'], 'nr': ['春秋装'], 'm': ['2018'], 'nt': ['韩版'], 'a': ['宽松'], 'eng': ['PU', 'h254'], 'v': ['休闲']}","['外套', '外套']",外套
4282,皮衣女短款春秋装2018韩版宽松大码PU皮短外套气质休闲皮夹克女潮z249,女装,外套,外套,"{'n': ['皮衣', '大码', '皮', '短外套', '气质', '皮夹克', '女潮'], 'b': ['女', '短款'], 'nr': ['春秋装'], 'm': ['2018'], 'nt': ['韩版'], 'a': ['宽松'], 'eng': ['PU', 'z249'], 'v': ['休闲']}","['外套', '外套']",外套
4283,皮衣女长款修身风衣秋冬2018新款chic海宁中长款PU皮大衣外套,女装,外套,风衣,"{'n': ['皮衣', '女长款', '修身', '风衣', '新款', '外套'], 't': ['秋冬'], 'm': ['2018'], 'eng': ['chic', 'PU'], 'ns': ['海宁'], 'j': ['中长款'], 'nr': ['皮大衣']}","['外套', '外套', '外套']",外套
4284,皮裙半身裙女2018新款时尚百搭高腰开叉中长款A字包臀一步裙潮,女装,裙子,半身裙,"{'n': ['皮裙', '半身裙', '女', '新款', '时尚', '腰', '字包', '臀', '裙潮'], 'm': ['2018', '百', '一步'], 'v': ['搭', '开叉'], 'a': ['高'], 'j': ['中长款'], 'eng': ['A']}","['裙子', '裙子']",裙子
4285,皮裙女2018新款半身裙高腰一步裙秋季百搭中长款显瘦pu黑色包裙冬a121,女装,裙子,半身裙,"{'n': ['皮裙', '女', '新款', '半身裙', '腰', '裙', '长款', '黑色', '包裙'], 'm': ['2018', '一步', '百'], 'a': ['高', '显瘦'], 't': ['秋季', '冬'], 'v': ['搭'], 'f': ['中'], 'eng': ['pu', 'a121']}","['裙子', '裙子', '裙子']",裙子
4286,皮裙女2018新款半身裙高腰一步裙秋季百搭中长款显瘦pu黑色包裙冬h271,女装,裙子,半身裙,"{'n': ['皮裙', '女', '新款', '半身裙', '腰', '裙', '长款', '黑色', '包裙'], 'm': ['2018', '一步', '百'], 'a': ['高', '显瘦'], 't': ['秋季', '冬'], 'v': ['搭'], 'f': ['中'], 'eng': ['pu', 'h271']}","['裙子', '裙子', '裙子']",裙子
4287,皮裤PU加绒秋冬新款打底裤女士紧身加厚高腰弹力百搭小脚裤,女装,裤子,小脚裤,"{'n': ['皮裤', '新款', '打底裤', '女士', '腰', '弹力', '小脚裤'], 'eng': ['PU'], 'nr': ['加绒', '加厚'], 't': ['秋冬'], 'v': ['紧身', '搭'], 'a': ['高'], 'm': ['百']}","['裤子', '裤子']",裤子
4288,皮裤加绒女2018新款高腰秋冬紧身黑色打底长裤亚光小脚裤,女装,裤子,小脚裤,"{'n': ['皮裤', '加绒', '女', '新款', '腰', '黑色', '打底', '长裤', '小脚裤'], 'm': ['2018'], 'a': ['高'], 't': ['秋冬'], 'v': ['紧身'], 'nr': ['亚光']}","['其它', '裤子', '裤子']",裤子
4289,直筒牛仔裤宽松韩版学生高腰bf九分裤百搭裤子阔腿裤,女装,裤子,阔腿裤,"{'n': ['直筒', '牛仔裤', '学生', '腰', '九分裤', '裤子', '阔腿裤'], 'a': ['宽松', '高'], 'nt': ['韩版'], 'eng': ['bf'], 'm': ['百'], 'v': ['搭']}","['裤子', '裤子', '裤子', '裤子']",裤子
4290,真丝羊毛江南刺绣围巾2018少女情怀合欢花（春秋冬）系列,女装,配饰,围巾,"{'n': ['真丝', '羊毛', '刺绣', '围巾', '少女', '情怀', '合欢花'], 'ns': ['江南'], 'm': ['2018'], 't': ['春秋', '冬'], 'q': ['系列']}",['配饰'],配饰
4291,真丝马海毛精品围巾2019新款（春秋冬）经典百搭优雅,女装,配饰,围巾,"{'n': ['真丝', '精品', '围巾', '新款', '经典'], 'nr': ['马海毛'], 'm': ['2019', '百'], 't': ['春秋', '冬'], 'v': ['搭'], 'a': ['优雅']}",['配饰'],配饰
4292,睡衣女夏仿真丝短袖韩版蕾丝性感丝绸宽松大码薄款冰丝睡裙家居服,女装,日用,睡衣,"{'n': ['睡衣', '女夏', '短袖', '蕾丝', '性感', '丝绸', '大码', '薄款', '冰丝', '睡裙', '家居服'], 'd': ['仿真'], 'm': ['丝'], 'nt': ['韩版'], 'a': ['宽松']}","['日用', '上衣', '日用']",日用
4293,睡衣女秋冬季甜美可爱韩版珊瑚绒保暖加绒少女法兰绒家居服套装款,女装,日用,睡衣,"{'n': ['睡衣', '珊瑚', '绒', '少女', '家居服', '套装'], 'b': ['女'], 't': ['秋冬季'], 'a': ['甜美'], 'v': ['可爱', '保暖'], 'nt': ['韩版'], 'nr': ['加绒'], 'nz': ['法兰绒'], 'm': ['款']}","['日用', '日用', '套装']",日用
4294,短外套女秋装新款韩版风衣中长款秋冬加绒羊羔毛棉外套大码b160,女装,外套,风衣,"{'n': ['短外套', '秋装', '新款', '风衣', '羊羔', '棉外套', '大码'], 'b': ['女'], 'nt': ['韩版'], 'j': ['中长款'], 't': ['秋冬'], 'nr': ['加绒', '毛'], 'eng': ['b160']}","['外套', '外套', '外套']",外套
4295,短外套韩版简约时尚修身潮流性感小西装百搭纯色个性显瘦2019春季h675,女装,外套,外套,"{'n': ['短外套', '时尚', '修身', '潮流', '性感', '西装', '纯色', '个性'], 'nt': ['韩版'], 'd': ['简约'], 'a': ['小', '显瘦'], 'm': ['百', '2019'], 'v': ['搭'], 't': ['春季'], 'eng': ['h675']}","['外套', '外套']",外套
4296,短款亮丝针织衫女宽松春装2019新款早春女装春季长袖上衣时尚韩版,女装,上衣,针织衫,"{'b': ['短款', '女'], 'n': ['亮丝', '针织衫', '春装', '新款', '女装', '长袖', '上衣', '时尚'], 'a': ['宽松'], 'm': ['2019'], 't': ['早春', '春季'], 'nt': ['韩版']}","['上衣', '其它', '上衣']",上衣
4297,短款加厚长袖拼接纯色2018年冬季羽绒服连帽修身白鸭绒【DB】f814,女装,外套,羽绒服,"{'b': ['短款'], 'nr': ['加厚'], 'n': ['长袖', '纯色', '羽绒服', '连帽', '修身', '鸭绒'], 'v': ['拼接'], 'm': ['2018', '年'], 't': ['冬季'], 'a': ['白', 'DB'], 'eng': ['f814']}","['其它', '外套']",外套
4298,短款圆领加绒毛衣女中长款时尚保暖打底衫女潮,女装,上衣,打底衫,"{'b': ['短款'], 'n': ['圆领', '绒毛', '衣女', '长款', '时尚', '打底衫', '女潮'], 'v': ['加', '保暖'], 'f': ['中']}",['上衣'],上衣
4299,短款小外套女装长袖2018秋冬季新款韩版宽松羊羔毛夹克加厚棒球服,女装,外套,外套,"{'b': ['短款'], 'a': ['小', '宽松'], 'n': ['外套', '女装', '长袖', '新款', '羊羔', '夹克', '棒球'], 'm': ['2018'], 't': ['秋冬季'], 'nt': ['韩版'], 'nr': ['毛', '加厚'], 'v': ['服']}","['外套', '其它', '外套']",外套
4300,短款小外套女长袖2018秋季新款韩版港风棒球服夹克春秋装外衣服潮,女装,外套,外套,"{'b': ['短款', '女'], 'a': ['小'], 'n': ['外套', '长袖', '新款', '风', '棒球', '夹克', '衣服', '潮'], 'm': ['2018'], 't': ['秋季'], 'ns': ['韩版港'], 'v': ['服'], 'nr': ['春秋装'], 'f': ['外']}","['外套', '其它', '外套']",外套
4301,短款棉衣女2018冬季新款韩版宽松百搭加厚棉服外套e189,女装,外套,棉服,"{'b': ['短款'], 'n': ['棉衣', '女', '新款', '棉服', '外套'], 'm': ['2018', '百'], 't': ['冬季'], 'nt': ['韩版'], 'a': ['宽松'], 'v': ['搭'], 'nr': ['加厚'], 'eng': ['e189']}","['外套', '外套', '外套']",外套
4302,短款棉衣女冬装新款韩版棉服立领小棉袄外套潮f208,女装,外套,棉服,"{'b': ['短款', '女'], 'n': ['棉衣', '冬装', '新款', '棉服', '棉袄', '外套', '潮'], 'nt': ['韩版'], 'v': ['立领'], 'a': ['小'], 'eng': ['f208']}","['外套', '外套', '外套', '外套']",外套
4303,短筒加绒补丁马丁靴女新款2018冬季侧拉链粗跟短靴毛毛雪地靴,女装,鞋,短靴,"{'n': ['短筒', '加绒', '马丁靴', '新款', '拉链', '短靴', '雪地', '靴'], 'nz': ['补丁'], 'b': ['女'], 'm': ['2018'], 't': ['冬季'], 'v': ['侧'], 'a': ['粗'], 'p': ['跟'], 'nr': ['毛毛']}","['鞋', '鞋', '鞋']",鞋
4304,短筒加绒补丁马丁靴女新款2018冬季侧拉链粗跟短靴毛毛雪地靴g305,女装,鞋,短靴,"{'n': ['短筒', '加绒', '马丁靴', '新款', '拉链', '短靴', '雪地', '靴'], 'nz': ['补丁'], 'b': ['女'], 'm': ['2018'], 't': ['冬季'], 'v': ['侧'], 'a': ['粗'], 'p': ['跟'], 'nr': ['毛毛'], 'eng': ['g305']}","['鞋', '鞋', '鞋']",鞋
4305,短袖t恤女夏装宽松韩版休闲学生百搭个性修身烫钻个性t恤,女装,上衣,T恤,"{'n': ['短袖', '恤女', '夏装', '学生', '个性', '修身', '个性', '恤'], 'eng': ['t', 't'], 'a': ['宽松'], 'nt': ['韩版'], 'v': ['休闲', '搭', '烫', '钻'], 'm': ['百']}",['上衣'],上衣
4306,短袖V领系带性感露脐T恤2018夏季短款亮丝网纱打底衫上衣,女装,上衣,打底衫,"{'n': ['短袖', '领', '系带', '性感', '露脐', 'T恤', '打底衫', '上衣'], 'eng': ['V'], 'm': ['2018'], 't': ['夏季'], 'b': ['短款'], 'v': ['亮'], 'nz': ['丝网'], 'zg': ['纱']}","['上衣', '上衣', '上衣', '上衣']",上衣
4307,短裤女秋冬新款毛呢外穿高腰休闲打底靴裤子修身a字阔腿裤女【DB】g257,女装,裤子,阔腿裤,"{'n': ['短裤', '新款', '毛呢', '腰', '打底', '靴', '裤子', '修身', '字', '阔腿裤'], 'b': ['女', '女'], 't': ['秋冬'], 'f': ['外'], 'v': ['穿', '休闲'], 'a': ['高', 'DB'], 'eng': ['a', 'g257']}","['裤子', '其它', '鞋', '裤子', '裤子']",裤子
